learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.015625,-4.042198674546348E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.0,0.0,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.015625,-4.042198674546348E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.03125,-8.084397349092695E-15,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.0,0.0,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.0,0.0,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.0,0.0,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.015625,-4.042198674546348E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.015625,-4.042198674546348E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.03125,-8.084397349092695E-15,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.015625,-4.042198674546348E-15,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.046875,-1.2126596023639042E-14,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.0,0.0,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.015625,-4.042198674546348E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.03125,-8.084397349092695E-15,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.03125,-8.084397349092695E-15,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.015625,-4.042198674546348E-15,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.0,0.0,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.0,0.0,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.015625,-4.042198674546348E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.015625,-4.042198674546348E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.03125,-8.084397349092695E-15,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.015625,-4.042198674546348E-15,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.015625,-4.042198674546348E-15,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.03125,-8.084397349092695E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.03125,-8.084397349092695E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.046875,-1.2126596023639042E-14,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.046875,-1.2126596023639042E-14,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.0625,-1.616879469818539E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.015625,-4.042198674546348E-15,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.03125,-8.084397349092695E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.046875,-1.2126596023639042E-14,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.0,0.0,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.046875,-1.2126596023639042E-14,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.015625,-4.042198674546348E-15,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.03125,-8.084397349092695E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.03125,-8.084397349092695E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.046875,-1.2126596023639042E-14,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.046875,-1.2126596023639042E-14,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.046875,-1.2126596023639042E-14,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.0625,-1.616879469818539E-14,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.0625,-1.616879469818539E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.0625,-1.616879469818539E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.03125,-8.084397349092695E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.046875,-1.2126596023639042E-14,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0
2020.0,0.046875,-1.2126596023639042E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,52.5,5.000000000000004,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,52.5,5.01899620075985,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,41.5,-18.49301195057727,600.0,-1.0
800.0,0.03125,-8.084397349092695E-15,800.0,58.5,-0.9732360097323608,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,49.5,0.7858546168958749,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,52.0,6.0665362035225,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,54.0,1.2875536480686707,1400.0,-1.0
1600.0,0.046875,-1.2126596023639042E-14,1600.0,51.5,-2.645502645502636,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0
